nikesha@edu.com.np Nikesh Aryal NCC,Kathmandu 9860476550 Oxygen 
rama@edu.com.np Rama Aryal NCC,Kathmandu 9860489550 Silver 
uma@edu.com.np Uma Khanal Thali,Kathmandu 9864576650 Boron 
science@edu.com.np Science Thapa Chabel,Kathmandu 9864576650 Carnon 
unique@edu.com.np Unique Khanal Boudha,Kathmandu 9854476650 Calcium 
prince@edu.com.np Prince Lama jorpati,Kathmandu 985476650 Black 
krish@edu.com.np Krish Tamang NMC,Kathmandu 986457360 Pimple 
paul@edu.com.np Paul Basnet PMC,Kathmandu 986045456350 Dimnple 
bishal@edu.com.np Bishal Aryal NCC,Kathmandu 9860546550 Simplke 
prativa@edu.com.np Prativa Khanal Sankhu,Kathmandu 9865456540 Kunjan 
pooja@edu.com.np Pooja Thapa NMC,Kathmandu 9862374540 Arya 
safalta@edu.com.np Safalta Lamichane Boudha,Kathmandu 9845475450 Janak 
anita@edu.com.np Anita Lama jorpati,Kathmandu 9540566650 Janan 
amrita@edu.com.np Amrita Tamang NMC,Kathmandu 983457360 Janani 
